TABLE CalTimeCalib 123680
# corrections to  CalTimeCalib cid= XXX, to be subtracted 
# sipmid     dT      sigma      chi2
 1722      0.000     0.000    -1.000
 1723      0.000     0.000    -1.000
 1724      0.000     0.000    -1.000
 1725      0.000     0.000    -1.000
 1726      0.000     0.000    -1.000
 1727      0.000     0.000    -1.000
 1728      0.000     0.000    -1.000
 1729      0.000     0.000    -1.000
 1730      0.000     0.000    -1.000
 1731      0.000     0.000    -1.000
 1732      0.000     0.000    -1.000
 1733      0.000     0.000    -1.000
 1734      0.000     0.000    -1.000
 1735      0.000     0.000    -1.000
 1736      0.000     0.000    -1.000
 1737      0.000     0.000    -1.000
 1738      0.000     0.000    -1.000
 1739      0.000     0.000    -1.000
 1740      0.000     0.000    -1.000
 1741      0.000     0.000    -1.000
 1742      0.000     0.000    -1.000
 1743     -1.923     6.730     0.289
 1744      0.000     0.000    -1.000
 1745      0.236    12.766     0.585
 1746      0.000     0.000    -1.000
 1747      0.000     0.000    -1.000
 1748      0.000     0.000    -1.000
 1749      0.000     0.000    -1.000
 1750      0.000     0.000    -1.000
 1751      0.000     0.000    -1.000
 1752      0.000     0.000    -1.000
 1753      0.000     0.000    -1.000
 1754      0.000     0.000    -1.000
 1755      0.000     0.000    -1.000
 1756      0.000     0.000    -1.000
 1757      0.000     0.000    -1.000
 1758      0.000     0.000    -1.000
 1759      0.000     0.000    -1.000
 1760      0.000     0.000    -1.000
 1761      0.000     0.000    -1.000
 1762      0.000     0.000    -1.000
 1763      0.000     0.000    -1.000
 1764      0.000     0.000    -1.000
 1765      0.000     0.000    -1.000
 1766      0.000     0.000    -1.000
 1767      0.000     0.000    -1.000
 1768      0.000     0.000    -1.000
 1769      0.000     0.000    -1.000
 1770      0.000     0.000    -1.000
 1771      0.000     0.000    -1.000
 1772      0.000     0.000    -1.000
 1773      0.000     0.000    -1.000
 1774      0.000     0.000    -1.000
 1775      0.000     0.000    -1.000
 1776      0.000     0.000    -1.000
 1777      0.000     0.000    -1.000
 1778      0.000     0.000    -1.000
 1779      0.000     0.000    -1.000
 1780      0.000     0.000    -1.000
 1781      0.000     0.000    -1.000
 1782      0.000     0.000    -1.000
 1783      0.000     0.000    -1.000
 1784      0.000     0.000    -1.000
 1785      0.000     0.000    -1.000
 1786      0.000     0.000    -1.000
 1787      0.000     0.000    -1.000
 1788     -9.545     5.193     0.184
 1789     -9.545     4.269     0.210
 1790      0.000     0.000    -1.000
 1791      0.000     0.000    -1.000
 1792      0.000     0.000    -1.000
 1793      0.000     0.000    -1.000
 1794      0.000     0.000    -1.000
 1795      0.000     0.000    -1.000
 1796      0.000     0.000    -1.000
 1797      0.000     0.000    -1.000
 1798      0.000     0.000    -1.000
 1799    -10.833     6.900     0.498
 1800      0.000     0.000    -1.000
 1801      0.000     0.000    -1.000
 1802      0.000     0.000    -1.000
 1803      0.000     0.000    -1.000
 1804     -9.000     7.329     0.472
 1805     -9.154     6.948     0.307
 1806      0.000     0.000    -1.000
 1807      0.000     0.000    -1.000
 1808      0.000     0.000    -1.000
 1809      6.000     4.920     0.260
 1810      0.000     0.000    -1.000
 1811      0.000     0.000    -1.000
 1812      0.000     0.000    -1.000
 1813      0.000     0.000    -1.000
 1814      0.833     7.043     0.349
 1815      0.000     0.000    -1.000
 1816      0.000     0.000    -1.000
 1817      0.000     0.000    -1.000
 1818      0.000     0.000    -1.000
 1819      0.000     0.000    -1.000
 1820      0.000     0.000    -1.000
 1821      0.000     0.000    -1.000
 1822      0.000     0.000    -1.000
 1823      0.000     0.000    -1.000
 1824      0.000     0.000    -1.000
 1825      0.000     0.000    -1.000
 1826      0.000     0.000    -1.000
 1827      2.833     4.354     0.387
 1828      0.000     0.000    -1.000
 1829      0.000     0.000    -1.000
 1830      0.000     0.000    -1.000
 1831      0.000     0.000    -1.000
 1832      0.000     0.000    -1.000
 1833      0.000     0.000    -1.000
 1834      0.000     0.000    -1.000
 1835      0.000     0.000    -1.000
 1836      0.000     0.000    -1.000
 1837      0.000     0.000    -1.000
 1838      0.000     0.000    -1.000
 1839      0.000     0.000    -1.000
 1840      0.000     0.000    -1.000
 1841      0.000     0.000    -1.000
 1842      0.000     0.000    -1.000
 1843      0.000     0.000    -1.000
 1844      0.000     0.000    -1.000
 1845      0.000     0.000    -1.000
 1846      0.000     0.000    -1.000
 1847      0.000     0.000    -1.000
 1848      0.000     0.000    -1.000
 1849      0.000     0.000    -1.000
 1850      0.000     0.000    -1.000
 1851      0.000     0.000    -1.000
 1852      0.000     0.000    -1.000
 1853      0.000     0.000    -1.000
 1854      0.000     0.000    -1.000
 1855      0.000     0.000    -1.000
 1856      0.000     0.000    -1.000
 1857      0.000     0.000    -1.000
 1858      0.000     0.000    -1.000
 1859      0.000     0.000    -1.000
 1860      0.000     0.000    -1.000
 1861      0.000     0.000    -1.000
 1862      0.000     0.000    -1.000
 1863      0.000     0.000    -1.000
 1864      0.000     0.000    -1.000
 1865      0.000     0.000    -1.000
 1866      0.000     0.000    -1.000
 1867      0.000     0.000    -1.000
 1868      0.000     0.000    -1.000
 1869      0.000     0.000    -1.000
 1870      0.000     0.000    -1.000
 1871      0.000     0.000    -1.000
 1872      0.000     0.000    -1.000
 1873      0.000     0.000    -1.000
 1874      0.000     0.000    -1.000
 1875      0.000     0.000    -1.000
 1876      0.000     0.000    -1.000
 1877      0.000     0.000    -1.000
 1878      0.000     0.000    -1.000
 1879      0.000     0.000    -1.000
 1880      0.000     0.000    -1.000
 1881      0.000     0.000    -1.000
 1882      0.000     0.000    -1.000
 1883      0.000     0.000    -1.000
 1884      0.000     0.000    -1.000
 1885     18.000     6.035     0.243
 1886      0.000     0.000    -1.000
 1887      0.000     0.000    -1.000
 1888      0.000     0.000    -1.000
 1889      0.000     0.000    -1.000
 1890      0.000     0.000    -1.000
 1891      0.000     0.000    -1.000
 1892      0.000     0.000    -1.000
 1893      0.000     0.000    -1.000
 1894      0.000     0.000    -1.000
 1895      0.000     0.000    -1.000
 1896      0.000     0.000    -1.000
 1897      0.000     0.000    -1.000
 1898      0.000     0.000    -1.000
 1899      0.000     0.000    -1.000
 1900      0.000     0.000    -1.000
 1901      0.000     0.000    -1.000
 1902      0.000     0.000    -1.000
 1903      0.000     0.000    -1.000
 1904      0.000     0.000    -1.000
 1905      0.000     0.000    -1.000
 1906      0.000     0.000    -1.000
 1907      0.000     0.000    -1.000
 1908      0.000     0.000    -1.000
 1909      0.000     0.000    -1.000
 1910      0.000     0.000    -1.000
 1911      0.000     0.000    -1.000
 1912      0.000     0.000    -1.000
 1913      0.000     0.000    -1.000
 1914      0.000     0.000    -1.000
 1915      0.000     0.000    -1.000
 1916      0.000     0.000    -1.000
 1917      0.000     0.000    -1.000
 1918      0.000     0.000    -1.000
 1919      0.000     0.000    -1.000
 1920      0.000     0.000    -1.000
 1921      0.000     0.000    -1.000
 1922      0.000     0.000    -1.000
 1923      0.000     0.000    -1.000
 1924      0.000     0.000    -1.000
 1925      0.000     0.000    -1.000
 1926      0.000     0.000    -1.000
 1927      0.000     0.000    -1.000
 1928      0.000     0.000    -1.000
 1929      0.000     0.000    -1.000
 1930      0.000     0.000    -1.000
 1931      0.000     0.000    -1.000
 1932      0.000     0.000    -1.000
 1933      0.000     0.000    -1.000
 1934      0.000     0.000    -1.000
 1935      0.000     0.000    -1.000
 1936      0.000     0.000    -1.000
 1937      0.000     0.000    -1.000
 1938      0.000     0.000    -1.000
 1939      0.000     0.000    -1.000
 1940      0.000     0.000    -1.000
 1941      0.000     0.000    -1.000
 1942      0.000     0.000    -1.000
 1943      0.000     0.000    -1.000
 1944      0.000     0.000    -1.000
 1945      0.000     0.000    -1.000
 1946      0.000     0.000    -1.000
 1947      0.000     0.000    -1.000
 1948      0.000     0.000    -1.000
 1949      0.000     0.000    -1.000
 1950      0.000     0.000    -1.000
 1951      0.000     0.000    -1.000
 1952      0.000     0.000    -1.000
 1953      0.000     0.000    -1.000
 1954      0.000     0.000    -1.000
 1955      0.000     0.000    -1.000
 1956      0.000     0.000    -1.000
 1957      0.000     0.000    -1.000
 1958      0.000     0.000    -1.000
 1959      0.000     0.000    -1.000
 1960      0.000     0.000    -1.000
 1961      0.000     0.000    -1.000
 1962      0.000     0.000    -1.000
 1963      0.000     0.000    -1.000
 1964      0.000     0.000    -1.000
 1965      0.000     0.000    -1.000
 1966      0.000     0.000    -1.000
 1967      0.000     0.000    -1.000
 1968      0.000     0.000    -1.000
 1969      0.000     0.000    -1.000
 1970     -9.143     7.873     0.536
 1971     -9.143     7.762     0.668
 1972      0.000     0.000    -1.000
 1973    -10.538     3.608     0.089
 1974      0.000     0.000    -1.000
 1975     -9.500     4.699     0.205
 1976    -10.333     4.713     0.322
 1977      0.000     0.000    -1.000
 1978      0.000     0.000    -1.000
 1979      0.000     0.000    -1.000
 1980     -4.291    11.626     0.750
 1981     -4.622    11.142     0.820
 1982      0.000     0.000    -1.000
 1983     -9.400     3.281     0.301
 1984     -9.500     5.951     0.485
 1985      0.000     0.000    -1.000
 1986     -9.500     3.570     0.067
 1987     -9.000     3.558     0.167
 1988      0.000     0.000    -1.000
 1989      0.000     0.000    -1.000
 1990      0.000     0.000    -1.000
 1991      0.000     0.000    -1.000
 1992      0.000     0.000    -1.000
 1993      0.000     0.000    -1.000
 1994      0.000     0.000    -1.000
 1995      4.818     5.424     0.261
 1996      0.000     0.000    -1.000
 1997      0.000     0.000    -1.000
 1998      0.000     0.000    -1.000
 1999      0.000     0.000    -1.000
 2000      0.000     0.000    -1.000
 2001      0.000     0.000    -1.000
 2002      0.000     0.000    -1.000
 2003      4.692     7.755     0.424
 2004      0.000     0.000    -1.000
 2005      0.000     0.000    -1.000
 2006      0.000     0.000    -1.000
 2007      0.000     0.000    -1.000
 2008      0.000     0.000    -1.000
 2009      0.000     0.000    -1.000
 2010      0.000     0.000    -1.000
 2011      0.000     0.000    -1.000
 2012      0.000     0.000    -1.000
 2013      0.000     0.000    -1.000
 2014      0.000     0.000    -1.000
 2015      0.000     0.000    -1.000
 2016      0.000     0.000    -1.000
 2017      0.000     0.000    -1.000
 2018      0.000     0.000    -1.000
 2019      0.000     0.000    -1.000
 2020      0.000     0.000    -1.000
 2021      0.000     0.000    -1.000
 2022      0.000     0.000    -1.000
 2023      0.000     0.000    -1.000
 2024      0.000     0.000    -1.000
 2025      0.000     0.000    -1.000
 2026      0.000     0.000    -1.000
 2027      0.000     0.000    -1.000
 2028      0.000     0.000    -1.000
 2029      0.000     0.000    -1.000
 2030      0.000     0.000    -1.000
 2031      0.000     0.000    -1.000
 2032      0.000     0.000    -1.000
 2033      0.000     0.000    -1.000
 2034      0.000     0.000    -1.000
 2035      0.000     0.000    -1.000
 2036      0.000     0.000    -1.000
 2037      0.000     0.000    -1.000
 2038      0.000     0.000    -1.000
 2039      0.000     0.000    -1.000
 2040      0.000     0.000    -1.000
 2041      0.000     0.000    -1.000
 2042      0.000     0.000    -1.000
 2043      0.000     0.000    -1.000
 2044      0.000     0.000    -1.000
 2045      0.000     0.000    -1.000
 2046      0.000     0.000    -1.000
 2047      0.000     0.000    -1.000
 2048      0.000     0.000    -1.000
 2049      0.000     0.000    -1.000
 2050      0.000     0.000    -1.000
 2051      0.000     0.000    -1.000
 2052      0.000     0.000    -1.000
 2053      0.000     0.000    -1.000
 2054      0.000     0.000    -1.000
 2055      0.000     0.000    -1.000
 2056      0.000     0.000    -1.000
 2057      0.000     0.000    -1.000
 2058      0.000     0.000    -1.000
 2059      0.000     0.000    -1.000
 2060      0.000     0.000    -1.000
 2061      0.000     0.000    -1.000
 2062      0.000     0.000    -1.000
 2063      0.000     0.000    -1.000
 2064      0.000     0.000    -1.000
 2065      0.000     0.000    -1.000
 2066      0.000     0.000    -1.000
 2067      0.000     0.000    -1.000
 2068      0.000     0.000    -1.000
 2069      0.000     0.000    -1.000
 2070      0.000     0.000    -1.000
 2071      0.000     0.000    -1.000
 2072      0.000     0.000    -1.000
 2073      0.000     0.000    -1.000
 2074      0.000     0.000    -1.000
 2075      0.000     0.000    -1.000
 2076      0.000     0.000    -1.000
 2077      0.000     0.000    -1.000
 2078     19.167     4.793     0.355
 2079     19.667     4.570     0.285
 2080      0.000     0.000    -1.000
 2081      0.000     0.000    -1.000
 2082      0.000     0.000    -1.000
 2083      0.000     0.000    -1.000
 2084     13.400     7.491     0.330
 2085      0.000     0.000    -1.000
 2086      0.000     0.000    -1.000
 2087      0.000     0.000    -1.000
 2088      0.000     0.000    -1.000
 2089      0.000     0.000    -1.000
 2090      0.000     0.000    -1.000
 2091      0.000     0.000    -1.000
 2092      0.000     0.000    -1.000
 2093     -2.231     7.904     0.412
 2094      0.000     0.000    -1.000
 2095      0.000     0.000    -1.000
 2096      0.000     0.000    -1.000
 2097      0.000     0.000    -1.000
 2098      0.000     0.000    -1.000
 2099      0.000     0.000    -1.000
 2100      0.000     0.000    -1.000
 2101      0.000     0.000    -1.000
 2102      4.167     5.442     0.336
 2103      0.000     0.000    -1.000
 2104      0.000     0.000    -1.000
 2105      0.000     0.000    -1.000
 2106      0.000     0.000    -1.000
 2107      0.000     0.000    -1.000
 2108      0.000     0.000    -1.000
 2109      0.000     0.000    -1.000
 2110      0.000     0.000    -1.000
 2111      0.000     0.000    -1.000
 2112      0.000     0.000    -1.000
 2113      0.000     0.000    -1.000
 2114      0.000     0.000    -1.000
 2115      0.000     0.000    -1.000
 2116      0.000     0.000    -1.000
 2117      0.000     0.000    -1.000
 2118      0.000     0.000    -1.000
 2119      0.000     0.000    -1.000
 2120      0.000     0.000    -1.000
 2121      0.000     0.000    -1.000
 2122      0.000     0.000    -1.000
 2123      0.000     0.000    -1.000
 2124      0.000     0.000    -1.000
 2125      0.000     0.000    -1.000
 2126      0.000     0.000    -1.000
 2127      0.000     0.000    -1.000
 2128      0.000     0.000    -1.000
 2129      0.000     0.000    -1.000
 2130      0.000     0.000    -1.000
 2131      0.000     0.000    -1.000
 2132      0.000     0.000    -1.000
 2133      0.000     0.000    -1.000
 2134      0.000     0.000    -1.000
 2135      0.000     0.000    -1.000
 2136      0.000     0.000    -1.000
 2137      0.000     0.000    -1.000
 2138      0.000     0.000    -1.000
 2139      0.000     0.000    -1.000
 2140      0.000     0.000    -1.000
 2141      0.000     0.000    -1.000
 2142      0.000     0.000    -1.000
 2143      0.000     0.000    -1.000
 2144      0.000     0.000    -1.000
 2145      0.000     0.000    -1.000
 2146      0.000     0.000    -1.000
 2147      0.000     0.000    -1.000
 2148      0.000     0.000    -1.000
 2149      0.000     0.000    -1.000
 2150      0.000     0.000    -1.000
 2151      0.000     0.000    -1.000
 2152      0.000     0.000    -1.000
 2153      0.000     0.000    -1.000
 2154      0.000     0.000    -1.000
 2155      0.000     0.000    -1.000
 2156      0.000     0.000    -1.000
 2157      0.000     0.000    -1.000
 2158      0.000     0.000    -1.000
 2159      0.000     0.000    -1.000
 2160   -341.276    13.480     0.790
 2161    -11.923     3.892     0.224
 2162      0.000     0.000    -1.000
 2163      0.000     0.000    -1.000
 2164      0.000     0.000    -1.000
 2165      0.000     0.000    -1.000
 2166      0.000     0.000    -1.000
 2167      0.000     0.000    -1.000
 2168      0.000     0.000    -1.000
 2169      0.000     0.000    -1.000
 2170      0.000     0.000    -1.000
 2171      0.000     0.000    -1.000
 2172     -9.769     7.380     0.397
 2173     -9.462     6.845     0.436
 2174      0.000     0.000    -1.000
 2175      0.000     0.000    -1.000
 2176      0.000     0.000    -1.000
 2177      0.000     0.000    -1.000
 2178      0.000     0.000    -1.000
 2179      4.167     6.242     0.369
 2180      0.000     0.000    -1.000
 2181      0.000     0.000    -1.000
 2182      0.000     0.000    -1.000
 2183      0.000     0.000    -1.000
 2184      0.000     0.000    -1.000
 2185      0.000     0.000    -1.000
 2186      0.000     0.000    -1.000
 2187      0.000     0.000    -1.000
 2188      0.000     0.000    -1.000
 2189      0.000     0.000    -1.000
 2190      0.000     0.000    -1.000
 2191      0.000     0.000    -1.000
 2192      0.000     0.000    -1.000
 2193      0.000     0.000    -1.000
 2194      0.000     0.000    -1.000
 2195      0.000     0.000    -1.000
 2196      0.000     0.000    -1.000
 2197      0.000     0.000    -1.000
 2198      0.000     0.000    -1.000
 2199      0.000     0.000    -1.000
 2200      0.000     0.000    -1.000
 2201      0.000     0.000    -1.000
 2202      0.000     0.000    -1.000
 2203      0.000     0.000    -1.000
 2204      0.000     0.000    -1.000
 2205      0.000     0.000    -1.000
 2206      0.000     0.000    -1.000
 2207      0.000     0.000    -1.000
 2208      0.000     0.000    -1.000
 2209      0.000     0.000    -1.000
 2210      0.000     0.000    -1.000
 2211      0.000     0.000    -1.000
 2212      0.000     0.000    -1.000
 2213      0.000     0.000    -1.000
 2214      0.000     0.000    -1.000
 2215      0.000     0.000    -1.000
 2216      0.000     0.000    -1.000
 2217      0.000     0.000    -1.000
 2218      0.000     0.000    -1.000
 2219      0.000     0.000    -1.000
 2220      0.000     0.000    -1.000
 2221      0.000     0.000    -1.000
 2222      0.000     0.000    -1.000
 2223      0.000     0.000    -1.000
 2224      0.000     0.000    -1.000
 2225      0.000     0.000    -1.000
 2226      0.000     0.000    -1.000
 2227      0.000     0.000    -1.000
 2228      0.000     0.000    -1.000
 2229      0.000     0.000    -1.000
 2230      0.000     0.000    -1.000
 2231      0.000     0.000    -1.000
 2232      0.000     0.000    -1.000
 2233      0.000     0.000    -1.000
 2234      0.000     0.000    -1.000
 2235      0.000     0.000    -1.000
 2236      0.000     0.000    -1.000
 2237      0.000     0.000    -1.000
 2238      0.000     0.000    -1.000
 2239      0.000     0.000    -1.000
 2240      0.000     0.000    -1.000
 2241      0.000     0.000    -1.000
 2242      0.000     0.000    -1.000
 2243      0.000     0.000    -1.000
 2244      0.000     0.000    -1.000
 2245      0.000     0.000    -1.000
 2246      0.000     0.000    -1.000
 2247      0.000     0.000    -1.000
 2248      0.000     0.000    -1.000
 2249      0.000     0.000    -1.000
 2250      0.000     0.000    -1.000
 2251      0.000     0.000    -1.000
 2252      0.000     0.000    -1.000
 2253     14.000     5.744     0.364
 2254      0.000     0.000    -1.000
 2255      0.000     0.000    -1.000
 2256      0.000     0.000    -1.000
 2257      0.000     0.000    -1.000
 2258     17.500     7.159     0.338
 2259      0.000     0.000    -1.000
 2260      0.000     0.000    -1.000
 2261      0.000     0.000    -1.000
 2262      0.000     0.000    -1.000
 2263      0.000     0.000    -1.000
 2264      0.000     0.000    -1.000
 2265      0.000     0.000    -1.000
 2266      0.000     0.000    -1.000
 2267      0.000     0.000    -1.000
 2268      0.000     0.000    -1.000
 2269      0.000     0.000    -1.000
 2270      0.000     0.000    -1.000
 2271      0.000     0.000    -1.000
 2272      0.000     0.000    -1.000
 2273      0.000     0.000    -1.000
 2274      0.000     0.000    -1.000
 2275      0.000     0.000    -1.000
 2276      0.000     0.000    -1.000
 2277      0.000     0.000    -1.000
 2278      0.000     0.000    -1.000
 2279      0.000     0.000    -1.000
 2280      0.000     0.000    -1.000
 2281      0.000     0.000    -1.000
 2282      0.000     0.000    -1.000
 2283      0.000     0.000    -1.000
 2284      0.000     0.000    -1.000
 2285      0.000     0.000    -1.000
 2286      0.000     0.000    -1.000
 2287      0.000     0.000    -1.000
 2288      0.000     0.000    -1.000
 2289      0.000     0.000    -1.000
 2290      4.077     6.450     0.544
 2291      5.803    12.738     0.802
 2292      0.000     0.000    -1.000
 2293      0.000     0.000    -1.000
 2294      0.000     0.000    -1.000
 2295      0.000     0.000    -1.000
 2296      0.000     0.000    -1.000
 2297      0.000     0.000    -1.000
 2298      0.000     0.000    -1.000
 2299      0.000     0.000    -1.000
 2300      0.000     0.000    -1.000
 2301      0.000     0.000    -1.000
 2302      0.000     0.000    -1.000
 2303      0.000     0.000    -1.000
 2304      0.000     0.000    -1.000
 2305      0.000     0.000    -1.000
 2306      0.000     0.000    -1.000
 2307      0.000     0.000    -1.000
 2308      0.000     0.000    -1.000
 2309      0.000     0.000    -1.000
 2310      0.000     0.000    -1.000
 2311      0.000     0.000    -1.000
 2312      0.000     0.000    -1.000
 2313      0.000     0.000    -1.000
 2314      0.000     0.000    -1.000
 2315      0.000     0.000    -1.000
 2316      0.000     0.000    -1.000
 2317      0.000     0.000    -1.000
 2318      0.000     0.000    -1.000
 2319      0.000     0.000    -1.000
 2320      0.000     0.000    -1.000
 2321      0.000     0.000    -1.000
 2322      0.000     0.000    -1.000
 2323      0.000     0.000    -1.000
 2324      0.000     0.000    -1.000
 2325      0.000     0.000    -1.000
 2326      0.000     0.000    -1.000
 2327      0.000     0.000    -1.000
 2328      0.000     0.000    -1.000
 2329      0.000     0.000    -1.000
 2330      0.000     0.000    -1.000
 2331      0.000     0.000    -1.000
 2332      0.000     0.000    -1.000
 2333      0.000     0.000    -1.000
 2334      0.000     0.000    -1.000
 2335      0.000     0.000    -1.000
 2336      0.000     0.000    -1.000
 2337      0.000     0.000    -1.000
 2338      0.000     0.000    -1.000
 2339      0.000     0.000    -1.000
 2340      0.000     0.000    -1.000
 2341      0.000     0.000    -1.000
 2342      0.000     0.000    -1.000
 2343      0.000     0.000    -1.000
 2344      0.000     0.000    -1.000
 2345      0.000     0.000    -1.000
 2346      0.000     0.000    -1.000
 2347      0.000     0.000    -1.000
 2348    -14.467    10.288     0.644
 2349      0.000     0.000    -1.000
 2350      0.000     0.000    -1.000
 2351      0.000     0.000    -1.000
 2352     -5.706    14.112     0.679
 2353      0.000     0.000    -1.000
 2354      0.000     0.000    -1.000
 2355      0.000     0.000    -1.000
 2356      0.000     0.000    -1.000
 2357      0.000     0.000    -1.000
 2358      0.000     0.000    -1.000
 2359      0.000     0.000    -1.000
 2360      3.952     6.778     0.390
 2361      6.800    11.610     0.715
 2362      0.000     0.000    -1.000
 2363      0.000     0.000    -1.000
 2364      0.000     0.000    -1.000
 2365      0.000     0.000    -1.000
 2366      0.000     0.000    -1.000
 2367      0.000     0.000    -1.000
 2368      0.000     0.000    -1.000
 2369      4.778     9.089     0.595
 2370      0.000     0.000    -1.000
 2371      0.000     0.000    -1.000
 2372      0.000     0.000    -1.000
 2373      0.000     0.000    -1.000
 2374      0.000     0.000    -1.000
 2375      0.000     0.000    -1.000
 2376      0.000     0.000    -1.000
 2377      0.000     0.000    -1.000
 2378      0.000     0.000    -1.000
 2379      0.000     0.000    -1.000
 2380      0.000     0.000    -1.000
 2381      0.000     0.000    -1.000
 2382      0.000     0.000    -1.000
 2383      0.000     0.000    -1.000
 2384      0.000     0.000    -1.000
 2385      0.000     0.000    -1.000
 2386      0.000     0.000    -1.000
 2387      0.000     0.000    -1.000
 2388      0.000     0.000    -1.000
 2389      0.000     0.000    -1.000
 2390      0.000     0.000    -1.000
 2391      0.000     0.000    -1.000
 2392      0.000     0.000    -1.000
 2393      0.000     0.000    -1.000
 2394      0.000     0.000    -1.000
 2395      0.000     0.000    -1.000
 2396      0.000     0.000    -1.000
 2397      0.000     0.000    -1.000
 2398      0.000     0.000    -1.000
 2399      0.000     0.000    -1.000
 2400      0.000     0.000    -1.000
 2401      0.000     0.000    -1.000
 2402      0.000     0.000    -1.000
 2403      0.000     0.000    -1.000
 2404      0.000     0.000    -1.000
 2405      0.000     0.000    -1.000
 2406      0.000     0.000    -1.000
 2407      0.000     0.000    -1.000
 2408      0.000     0.000    -1.000
 2409      0.000     0.000    -1.000
 2410      0.000     0.000    -1.000
 2411      0.000     0.000    -1.000
 2412      0.000     0.000    -1.000
 2413      0.000     0.000    -1.000
 2414      0.000     0.000    -1.000
 2415      0.000     0.000    -1.000
 2416      0.000     0.000    -1.000
 2417      0.000     0.000    -1.000
 2418      0.000     0.000    -1.000
 2419      0.000     0.000    -1.000
 2420      0.000     0.000    -1.000
 2421      0.000     0.000    -1.000
 2422      0.000     0.000    -1.000
 2423      0.000     0.000    -1.000
 2424      0.000     0.000    -1.000
 2425      0.000     0.000    -1.000
 2426      0.000     0.000    -1.000
 2427      0.000     0.000    -1.000
 2428      0.000     0.000    -1.000
 2429      0.000     0.000    -1.000
 2430      0.000     0.000    -1.000
 2431     17.308     5.862     0.272
 2432      0.000     0.000    -1.000
 2433      0.000     0.000    -1.000
 2434      0.000     0.000    -1.000
 2435      0.000     0.000    -1.000
 2436      0.000     0.000    -1.000
 2437      0.000     0.000    -1.000
 2438      0.000     0.000    -1.000
 2439      0.000     0.000    -1.000
 2440      0.000     0.000    -1.000
 2441      0.000     0.000    -1.000
 2442      0.000     0.000    -1.000
 2443      0.000     0.000    -1.000
 2444     -3.364     1.872     0.027
 2445      0.000     0.000    -1.000
 2446      0.000     0.000    -1.000
 2447      0.000     0.000    -1.000
 2448      0.000     0.000    -1.000
 2449      0.000     0.000    -1.000
 2450      0.000     0.000    -1.000
 2451      0.000     0.000    -1.000
 2452      4.455     2.965     0.183
 2453      4.455     3.313     0.071
 2454      0.000     0.000    -1.000
 2455      0.000     0.000    -1.000
 2456      0.000     0.000    -1.000
 2457      0.000     0.000    -1.000
 2458      0.000     0.000    -1.000
 2459      0.000     0.000    -1.000
 2460      0.000     0.000    -1.000
 2461      0.000     0.000    -1.000
 2462      0.000     0.000    -1.000
 2463      0.000     0.000    -1.000
 2464      0.000     0.000    -1.000
 2465      0.000     0.000    -1.000
 2466      0.000     0.000    -1.000
 2467      0.000     0.000    -1.000
 2468      0.000     0.000    -1.000
 2469      0.000     0.000    -1.000
 2470      0.000     0.000    -1.000
 2471      0.000     0.000    -1.000
 2472      0.000     0.000    -1.000
 2473      0.000     0.000    -1.000
 2474      0.000     0.000    -1.000
 2475      0.000     0.000    -1.000
 2476      0.000     0.000    -1.000
 2477      0.000     0.000    -1.000
 2478      0.000     0.000    -1.000
 2479      0.000     0.000    -1.000
 2480      0.000     0.000    -1.000
 2481      0.000     0.000    -1.000
 2482      0.000     0.000    -1.000
 2483      0.000     0.000    -1.000
 2484      0.000     0.000    -1.000
 2485      0.000     0.000    -1.000
 2486      0.000     0.000    -1.000
 2487      0.000     0.000    -1.000
 2488      0.000     0.000    -1.000
 2489      0.000     0.000    -1.000
 2490      0.000     0.000    -1.000
 2491      0.000     0.000    -1.000
 2492      0.000     0.000    -1.000
 2493      0.000     0.000    -1.000
 2494      0.000     0.000    -1.000
 2495      0.000     0.000    -1.000
 2496      0.000     0.000    -1.000
 2497      0.000     0.000    -1.000
 2498      0.000     0.000    -1.000
 2499      0.000     0.000    -1.000
 2500      0.000     0.000    -1.000
 2501      0.000     0.000    -1.000
 2502      0.000     0.000    -1.000
 2503      0.000     0.000    -1.000
 2504      0.000     0.000    -1.000
 2505      0.000     0.000    -1.000
 2506    -10.143     6.875     0.341
 2507    -10.286     6.573     0.293
 2508      0.000     0.000    -1.000
 2509      0.000     0.000    -1.000
 2510      0.000     0.000    -1.000
 2511      0.000     0.000    -1.000
 2512      0.000     0.000    -1.000
 2513      0.000     0.000    -1.000
 2514      0.000     0.000    -1.000
 2515      0.000     0.000    -1.000
 2516      0.000     0.000    -1.000
 2517      0.000     0.000    -1.000
 2518      0.000     0.000    -1.000
 2519      0.000     0.000    -1.000
 2520      0.000     0.000    -1.000
 2521      0.000     0.000    -1.000
 2522      0.000     0.000    -1.000
 2523      0.000     0.000    -1.000
 2524      0.000     0.000    -1.000
 2525      0.000     0.000    -1.000
 2526      0.000     0.000    -1.000
 2527      0.000     0.000    -1.000
 2528      0.000     0.000    -1.000
 2529      0.000     0.000    -1.000
 2530      0.000     0.000    -1.000
 2531      0.000     0.000    -1.000
 2532      0.000     0.000    -1.000
 2533      0.000     0.000    -1.000
 2534      0.000     0.000    -1.000
 2535      0.000     0.000    -1.000
 2536      0.000     0.000    -1.000
 2537      0.000     0.000    -1.000
 2538      0.000     0.000    -1.000
 2539      0.000     0.000    -1.000
 2540      0.000     0.000    -1.000
 2541      0.000     0.000    -1.000
 2542      0.000     0.000    -1.000
